checking_status,duration,credit_amount,savings_status,employment,installment_commitment,residence_since,age,existing_credits,num_dependents,own_telephone,foreign_worker,class
0,24,2957,0,7,4,4,63,2,1,1,1,good
0,10,2132,0,0,2,3,27,2,1,0,0,good
0,24,1940,1000,7,4,4,60,1,1,1,1,good
0,24,937,0,0,4,3,27,2,1,0,1,good
0,48,10222,0,5.5,4,3,37,1,1,1,1,good
200,6,709,1000,0,2,2,27,1,1,0,0,good
0,12,640,0,2.5,4,2,49,1,1,0,1,good
0,27,3416,0,2.5,3,2,27,1,1,0,1,good
0,6,1204,300,2.5,4,1,35,1,1,0,0,good
0,27,5190,0,7,4,4,48,4,2,1,1,good
0,36,4686,0,2.5,2,2,32,1,1,1,1,good
0,6,1595,0,5.5,3,2,51,1,2,0,1,good
100,24,6967,300,5.5,4,4,36,1,1,1,1,good
0,12,2859,0,0,4,4,38,1,1,1,1,good
100,18,1795,0,7,3,4,48,2,1,1,1,good
0,24,2463,300,5.5,4,3,27,2,1,1,1,good
0,12,1255,0,7,4,4,61,2,1,0,1,good
100,30,3496,1000,2.5,4,2,34,1,2,1,1,good
0,18,2662,0,5.5,4,3,32,1,1,0,0,good
100,12,2366,750,5.5,3,3,36,1,1,1,1,good
200,12,3016,0,2.5,3,1,24,1,1,0,1,good
0,12,2577,0,2.5,2,1,42,1,1,0,1,good
0,15,2788,0,5.5,2,3,24,2,1,0,1,good
0,9,2697,0,2.5,1,2,32,1,2,0,1,good
100,20,7057,0,5.5,3,4,36,2,2,1,1,good
100,6,368,0,7,4,4,38,1,1,0,1,good
100,12,1995,300,0,4,1,27,1,1,0,1,good
0,24,6313,0,7,3,4,41,1,2,1,1,good
100,12,3617,0,7,1,4,28,3,1,1,1,good
0,42,7882,0,5.5,2,4,45,1,2,0,1,good
100,36,6948,0,2.5,2,2,35,1,1,1,1,good
0,48,10222,0,5.5,4,3,37,1,1,1,1,good
0,12,1240,0,7,4,2,38,2,1,1,1,good
0,15,1520,0,7,4,4,63,1,1,0,1,good
0,12,1542,0,5.5,2,4,36,1,1,1,1,good
0,18,3229,0,0,2,4,38,1,1,1,1,good
0,24,6579,0,0,4,2,29,1,1,1,1,good
100,7,2415,0,2.5,3,2,34,1,1,0,1,good
0,15,1478,0,2.5,4,3,33,2,1,0,1,good
0,12,640,0,2.5,4,2,49,1,1,0,1,good
0,30,6742,0,5.5,2,3,36,2,1,0,1,good
100,12,625,0,0,4,1,26,1,1,0,1,good
0,11,3939,0,2.5,1,2,40,2,2,0,1,good
100,12,3617,0,7,1,4,28,3,1,1,1,good
0,30,4272,300,2.5,2,2,26,2,1,0,1,good
0,10,1231,0,7,3,4,32,2,2,0,0,good
0,21,3160,0,7,4,3,41,1,1,1,1,good
0,6,1236,750,2.5,2,4,50,1,1,0,1,good
0,21,2476,0,7,4,4,46,1,1,1,1,good
0,12,2331,0,7,1,4,49,1,1,1,1,good
0,36,8133,0,2.5,1,2,30,1,1,0,1,good
0,6,338,750,7,4,4,52,2,1,0,1,good
200,12,1330,0,0,4,1,26,1,1,0,1,good
100,6,932,0,5.5,1,3,39,2,1,0,1,good
0,12,1858,0,0,4,1,22,1,1,0,1,good
100,24,5743,0,0,2,4,24,2,1,1,1,good
0,21,2241,0,7,4,2,50,2,1,0,1,good
0,21,2606,0,0,4,4,28,1,1,1,1,good
0,18,1505,0,2.5,4,2,32,1,1,1,1,good
100,12,983,1000,0,1,4,19,1,1,0,1,good
0,24,2964,0,7,4,4,49,1,2,1,1,good
0,22,2675,750,7,3,4,40,1,1,0,1,good
0,6,4716,0,0,1,3,44,2,2,0,1,good
0,12,886,0,2.5,4,2,21,1,1,0,1,good
0,12,804,0,7,4,4,38,1,1,0,1,good
0,15,5324,750,7,1,4,35,1,1,0,1,good
100,48,3566,300,5.5,4,2,30,1,1,0,1,good
100,12,3124,0,0,1,3,49,2,2,0,1,good
0,24,4139,300,2.5,3,3,27,2,1,1,1,good
100,9,458,0,2.5,4,3,24,1,1,0,1,good
100,18,1239,0,2.5,4,4,61,1,1,0,1,good
0,10,2069,0,2.5,2,1,26,2,1,0,0,good
0,30,6742,0,5.5,2,3,36,2,1,0,1,good
0,21,2241,0,7,4,2,50,2,1,0,1,good
0,28,7824,0,0,3,4,40,2,2,1,1,good
0,48,3578,0,7,4,1,47,1,1,1,1,good
0,12,1255,0,7,4,4,61,2,1,0,1,good
100,18,6204,0,2.5,2,4,44,1,2,1,1,good
0,27,8613,1000,2.5,2,2,27,2,1,0,1,good
100,9,1206,0,7,4,4,25,1,1,0,1,good
0,12,1657,0,2.5,2,2,27,1,1,0,1,good
100,18,1795,0,7,3,4,48,2,1,1,1,good
0,6,1382,0,2.5,1,1,28,2,1,1,1,good
200,6,1343,0,7,1,4,46,2,2,0,0,good
100,18,6260,0,5.5,3,3,28,1,1,0,1,good
200,24,3617,0,7,4,4,20,2,1,0,1,good
100,18,1113,0,2.5,4,4,26,1,2,0,1,good
0,12,2390,0,7,4,3,50,1,1,1,1,good
100,30,3832,0,0,2,1,22,1,1,0,1,good
0,28,2743,0,7,4,2,29,2,1,0,1,good
0,6,6761,0,5.5,1,3,45,2,2,1,1,good
0,36,11054,0,2.5,4,2,30,1,1,1,1,good
0,12,1185,0,2.5,3,2,27,2,1,0,1,good
0,12,1884,0,7,4,4,39,1,1,1,1,good
0,7,730,0,7,4,2,46,2,1,1,1,good
0,24,2828,750,2.5,4,4,22,1,1,1,1,good
0,9,1138,0,2.5,4,4,25,2,1,0,1,good
0,27,8613,1000,2.5,2,2,27,2,1,0,1,good
0,8,3398,0,5.5,1,4,39,2,1,0,0,good
0,15,1459,0,2.5,4,2,43,1,1,0,1,good
0,20,2212,0,5.5,4,4,39,1,1,1,1,good
100,60,9157,0,2.5,2,2,27,1,1,0,1,good
0,12,701,0,2.5,4,2,40,1,1,0,1,good
0,15,1478,0,2.5,4,3,33,2,1,0,1,good
100,30,2503,300,7,4,2,41,2,1,0,1,good
0,12,1264,0,7,4,4,57,1,1,0,1,good
100,48,3566,300,5.5,4,2,30,1,1,0,1,good
0,36,9566,0,2.5,2,2,31,2,1,0,1,good
200,12,1881,0,2.5,2,2,44,1,1,1,1,good
0,24,1940,1000,7,4,4,60,1,1,1,1,good
0,12,618,0,7,4,4,56,1,1,0,1,good
100,36,2862,300,7,4,3,30,1,1,0,1,good
100,13,882,0,0,4,4,23,2,1,0,1,good
0,18,4594,0,0,3,2,32,1,1,1,1,good
200,12,1297,0,2.5,3,4,23,1,1,0,1,good
200,15,2360,750,2.5,2,2,36,1,1,1,1,good
0,12,717,0,7,4,4,52,3,1,0,1,good
0,27,5117,0,5.5,3,4,26,2,1,0,1,good
0,30,4583,0,2.5,2,2,32,2,1,0,1,good
200,24,3617,0,7,4,4,20,2,1,0,1,good
0,15,806,0,2.5,4,4,22,1,1,0,1,good
200,12,1881,0,2.5,2,2,44,1,1,1,1,good
100,21,3976,0,5.5,2,3,35,1,1,1,1,good
0,6,700,0,7,4,4,36,2,1,0,1,good
0,24,7814,0,5.5,3,3,38,1,1,1,1,good
100,48,8487,0,5.5,1,2,24,1,1,0,1,good
100,18,1913,1000,0,3,3,36,1,1,1,1,good
0,18,629,750,7,4,3,32,2,1,1,1,good
0,15,1386,0,2.5,4,2,40,1,1,1,1,good
100,10,1048,0,2.5,4,4,23,1,1,0,1,good
0,36,8947,0,5.5,3,2,31,1,2,1,1,good
0,12,1291,0,2.5,4,2,35,2,1,0,1,good
100,12,1007,1000,2.5,4,1,22,1,1,0,1,good
200,24,3148,0,2.5,3,2,31,2,1,1,1,good
100,27,2528,0,0,4,1,32,1,2,1,1,good
0,12,1526,0,7,4,4,66,2,1,0,1,good
0,15,4657,0,2.5,3,2,30,1,1,1,1,good
0,24,1249,0,0,4,2,28,1,1,0,1,good
0,18,4380,300,2.5,3,4,35,1,2,1,1,good
0,10,2901,0,0,1,4,31,1,1,0,1,good
0,10,2132,0,0,2,3,27,2,1,0,0,good
0,15,1300,0,7,4,4,45,1,2,0,1,good
0,12,3590,0,2.5,2,2,29,1,2,0,1,good
100,30,3496,1000,2.5,4,2,34,1,2,1,1,good
0,20,4272,0,7,1,4,24,2,1,0,1,good
100,24,1743,0,7,4,2,48,2,1,0,1,good
0,12,2445,0,0,2,4,26,1,1,1,1,good
0,48,8858,0,5.5,2,1,35,2,1,1,1,good
0,10,1231,0,7,3,4,32,2,2,0,0,good
0,48,3609,0,2.5,1,1,27,1,1,0,1,good
0,12,701,0,2.5,4,2,40,1,1,0,1,good
100,24,2760,0,7,4,4,36,1,1,1,1,good
0,30,4811,0,5.5,2,4,24,1,1,0,1,good
0,30,3857,0,2.5,4,4,40,1,1,1,1,good
0,12,1262,0,7,2,4,49,1,1,1,1,good
0,15,1478,0,2.5,4,3,33,2,1,0,1,good
0,12,1934,0,7,2,2,26,2,1,0,1,good
0,12,1412,0,2.5,4,2,29,2,1,1,1,good
0,21,2288,0,0,4,4,23,1,1,1,1,good
0,12,2331,0,7,1,4,49,1,1,1,1,good
100,24,1201,0,0,4,1,26,1,1,0,1,good
0,18,3104,0,5.5,3,1,31,1,1,1,1,good
200,12,1297,0,2.5,3,4,23,1,1,0,1,good
200,10,3949,0,0,1,1,37,1,2,0,1,good
0,12,886,0,2.5,4,2,21,1,1,0,1,good
100,18,3872,0,0,2,4,67,1,1,1,1,good
0,24,1249,0,0,4,2,28,1,1,0,1,good
0,21,3599,0,5.5,1,4,26,1,1,0,1,good
0,10,2132,0,0,2,3,27,2,1,0,0,good
0,15,1721,0,0,2,3,36,1,1,0,1,good
0,11,3939,0,2.5,1,2,40,2,2,0,1,good
100,48,3566,300,5.5,4,2,30,1,1,0,1,good
100,15,1444,0,0,4,1,23,1,1,0,1,good
0,18,1028,0,2.5,4,3,36,2,1,0,1,good
0,18,2662,0,5.5,4,3,32,1,1,0,0,good
0,6,1740,0,7,2,2,30,2,1,0,1,good
0,6,1740,0,7,2,2,30,2,1,0,1,good
0,21,3357,1000,0,4,2,29,1,1,0,1,good
0,24,999,0,7,4,2,25,2,1,0,1,good
0,6,250,1000,2.5,2,2,41,2,1,0,1,good
100,6,1068,0,7,4,4,28,1,2,0,1,good
0,21,3275,0,7,1,4,36,1,1,1,1,good
100,12,1155,0,7,3,3,40,2,1,0,1,good
100,20,6148,300,7,3,4,31,2,1,1,1,good
100,48,12169,0,0,4,4,36,1,1,1,1,good
0,48,3578,0,7,4,1,47,1,1,1,1,good
0,15,1300,0,7,4,4,45,1,2,0,1,good
0,15,1316,750,2.5,2,2,47,2,1,0,1,good
0,24,1901,300,2.5,4,4,29,1,1,1,1,good
0,18,629,750,7,4,3,32,2,1,1,1,good
0,12,3565,0,0,2,1,37,2,2,0,1,good
200,12,3399,0,7,2,3,37,1,1,0,1,good
200,6,2116,0,2.5,2,2,41,1,1,1,1,good
0,36,10477,0,7,2,4,42,2,1,0,1,good
0,36,7409,0,7,3,2,37,2,1,0,1,good
100,60,9157,0,2.5,2,2,27,1,1,0,1,good
0,9,2753,300,7,3,4,35,1,1,1,1,good
100,36,3990,0,0,3,2,29,1,1,0,1,good
0,15,1316,750,2.5,2,2,47,2,1,0,1,good
0,24,1231,1000,7,4,4,57,2,1,1,1,good
0,24,1474,300,0,4,3,33,1,1,1,1,good
100,24,3878,300,0,4,2,37,1,1,1,1,good
0,18,1820,0,2.5,2,2,30,1,1,1,1,good
100,36,3711,0,2.5,2,2,27,1,1,0,1,good
100,24,4712,0,2.5,4,2,37,2,1,1,1,good
0,24,1413,0,2.5,4,2,28,1,1,0,1,good
0,15,5045,0,7,1,4,59,1,1,1,1,good
0,6,660,750,5.5,2,4,23,1,1,0,1,good
0,6,426,0,7,4,4,39,1,1,0,1,good
0,36,5711,1000,7,4,2,38,2,1,1,1,good
0,36,3959,0,0,4,3,30,1,1,1,1,good
0,18,1800,0,2.5,4,2,24,2,1,0,1,good
0,11,7228,0,2.5,1,4,39,2,1,0,1,good
0,24,7393,0,2.5,1,4,43,1,2,0,1,good
0,18,6070,0,7,3,4,33,2,1,1,1,good
100,12,1995,300,0,4,1,27,1,1,0,1,good
100,6,1449,300,7,1,2,31,2,2,0,1,good
0,48,3609,0,2.5,1,1,27,1,1,0,1,good
0,12,2279,0,2.5,4,4,37,1,1,1,1,good
0,18,2404,0,2.5,2,2,26,2,1,0,1,good
0,8,1164,0,7,3,4,51,2,2,1,1,good
100,18,3612,0,7,3,4,37,1,1,1,1,good
100,8,907,0,0,3,2,26,1,1,1,1,good
0,7,846,0,7,3,4,36,1,1,0,1,good
0,48,7238,0,7,3,3,32,2,2,0,1,good
0,24,3021,0,2.5,2,2,24,1,1,0,1,good
0,30,3622,1000,7,4,4,57,2,1,1,1,good
0,24,1258,0,5.5,4,1,25,1,1,1,1,good
100,48,12204,0,2.5,2,2,48,1,1,1,1,good
100,9,1154,0,7,2,4,37,3,1,0,1,good
0,18,2249,300,5.5,4,3,30,1,2,1,1,good
0,24,1469,300,7,4,4,41,1,1,0,1,good
0,30,3622,1000,7,4,4,57,2,1,1,1,good
100,24,1965,0,2.5,4,4,42,2,1,1,1,good
100,18,3872,0,0,2,4,67,1,1,1,1,good
0,42,3394,0,0,4,4,65,2,1,0,1,good
100,18,3244,0,2.5,1,4,33,2,1,1,1,good
0,21,1591,300,5.5,4,3,34,2,1,0,1,good
100,9,276,0,2.5,4,4,22,1,1,0,1,good
0,15,3812,300,0,1,4,23,1,1,1,1,good
0,24,2223,300,7,4,4,52,2,1,0,1,good
100,27,5965,0,7,1,2,30,2,1,1,1,good
0,60,6527,0,2.5,4,4,34,1,2,1,1,good
100,8,907,0,0,3,2,26,1,1,1,1,good
0,15,1053,0,0,4,2,27,1,1,0,0,good
0,18,1049,0,0,4,4,21,1,1,0,1,good
0,24,3021,0,2.5,2,2,24,1,1,0,1,good
100,18,1795,0,7,3,4,48,2,1,1,1,good
200,12,3016,0,2.5,3,1,24,1,1,0,1,good
0,15,1478,0,7,4,4,44,2,2,1,1,good
0,42,4042,750,2.5,4,4,36,2,1,1,1,good
0,18,1149,1000,2.5,4,3,46,2,1,0,1,good
0,24,1382,300,5.5,4,1,26,2,1,1,1,good
100,48,12169,0,0,4,4,36,1,1,1,1,good
0,18,1049,0,0,4,4,21,1,1,0,1,good
200,21,2923,300,2.5,1,1,28,1,1,1,1,good
0,12,1200,0,2.5,4,4,23,1,1,1,1,good
100,15,2728,0,5.5,4,2,35,3,1,1,1,good
0,9,3577,300,2.5,1,2,26,1,2,0,0,good
0,21,5248,0,2.5,1,3,26,1,1,0,1,good
0,24,4139,300,2.5,3,3,27,2,1,1,1,good
0,12,1963,0,5.5,4,2,31,2,2,1,1,good
0,18,2249,300,5.5,4,3,30,1,2,1,1,good
0,24,5150,0,7,4,4,33,1,1,1,1,good
0,48,7476,0,5.5,4,1,50,1,1,1,1,good
0,48,7629,0,7,4,2,46,2,2,0,1,good
0,24,3235,750,7,3,2,26,1,1,1,1,good
0,10,1287,0,7,4,2,45,1,1,0,0,good
0,12,1680,750,7,3,1,35,1,1,0,1,good
0,9,2697,0,2.5,1,2,32,1,2,0,1,good
0,30,3077,0,7,3,2,40,2,2,1,1,good
0,24,4679,0,5.5,3,3,35,2,1,1,1,good
100,24,3512,300,5.5,2,3,38,2,1,1,1,good
0,12,1413,1000,5.5,3,2,55,1,1,0,0,good
0,36,3835,0,7,2,4,45,1,1,1,1,good
200,24,1275,1000,2.5,2,4,36,2,1,1,1,good
0,15,3186,1000,5.5,2,3,20,1,1,0,1,good
0,30,3077,0,7,3,2,40,2,2,1,1,good
0,18,1473,0,0,3,4,39,1,1,1,1,good
0,24,2670,0,7,4,4,35,1,1,1,1,good
100,12,2028,0,2.5,4,2,30,1,1,0,1,good
0,12,3077,0,2.5,2,4,52,1,1,1,1,good
0,18,6070,0,7,3,4,33,2,1,1,1,good
100,18,1913,1000,0,3,3,36,1,1,1,1,good
0,47,10722,0,0,1,1,35,1,1,1,1,good
0,18,8471,0,2.5,1,2,23,2,1,1,1,good
100,24,2896,300,0,2,1,29,1,1,0,1,good
0,30,5771,0,5.5,4,2,25,2,1,0,1,good
100,12,3017,0,0,3,1,34,1,1,0,1,good
0,6,1237,300,2.5,1,1,27,2,1,0,1,good
0,24,3660,0,2.5,2,4,28,1,1,0,1,good
0,15,806,0,2.5,4,4,22,1,1,0,1,good
0,15,4657,0,2.5,3,2,30,1,1,1,1,good
0,36,8947,0,5.5,3,2,31,1,2,1,1,good
0,8,3398,0,5.5,1,4,39,2,1,0,0,good
0,12,2012,0,5.5,4,2,61,1,1,0,1,good
200,12,3016,0,2.5,3,1,24,1,1,0,1,good
0,18,3422,0,7,4,4,47,3,2,1,1,good
200,6,1323,300,7,2,4,28,2,2,1,1,good
100,15,2326,750,2.5,2,4,27,1,1,0,1,good
0,14,802,0,2.5,4,2,27,2,1,0,1,good
0,15,874,0,0,4,1,24,1,1,0,1,good
0,24,999,0,7,4,2,25,2,1,0,1,good
0,21,2782,750,5.5,1,2,31,1,1,0,1,good
0,24,1413,0,2.5,4,2,28,1,1,0,1,good
0,15,3186,1000,5.5,2,3,20,1,1,0,1,good
0,6,1898,0,2.5,1,2,34,2,2,0,1,good
100,6,484,0,5.5,3,3,28,1,1,0,1,good
200,18,1961,0,7,3,2,23,1,1,0,1,good
0,24,937,0,0,4,3,27,2,1,0,1,good
100,18,2899,0,7,4,4,43,1,2,0,1,good
0,15,1262,750,5.5,4,3,36,2,1,1,1,good
0,24,3972,0,5.5,2,4,25,1,1,1,1,good
0,11,1393,0,0,4,4,35,2,1,0,1,good
0,10,2315,0,7,3,4,52,1,1,0,1,good
200,6,1343,0,7,1,4,46,2,2,0,0,good
0,30,5954,0,5.5,3,2,38,1,1,0,1,good
0,36,5742,300,5.5,2,2,31,2,1,1,1,good
0,18,1055,0,0,4,1,30,2,1,0,1,good
0,12,3059,1000,5.5,2,4,61,1,1,0,1,good
0,18,4380,300,2.5,3,4,35,1,2,1,1,good
0,24,3488,300,5.5,3,4,23,1,1,0,1,good
0,18,1984,0,2.5,4,4,47,2,1,0,1,good
100,48,12204,0,2.5,2,2,48,1,1,1,1,good
0,12,1542,0,5.5,2,4,36,1,1,1,1,good
0,30,3077,0,7,3,2,40,2,2,1,1,good
100,8,907,0,0,3,2,26,1,1,1,1,good
0,24,6579,0,0,4,2,29,1,1,1,1,good
0,24,717,0,7,4,4,54,2,1,1,1,good
200,10,3949,0,0,1,1,37,1,2,0,1,good
